,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,updated_github_id,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
100,faq-bot,https://bithesis.bitnp.net/guide/ask-computer.html,YDX-2147483647/faq-bot,agg,,https://github.com/YDX-2147483647/faq-bot,MIT,2025-05-24 14:44:00.000,2026-01-08 12:29:12,2025-11-18 06:38:18,70.0,,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,BIThesis 交流群和 Typst 非官方中文交流群的机器人。.,2.0,4,True,2.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,
101,bit-guide,https://yht0511.github.io/bit-guide/,yht0511/bit-guide,agg,,https://github.com/yht0511/bit-guide,,2025-07-03 14:45:46.000,2025-08-22 03:16:39,2025-08-22 03:16:17,57.0,,3.0,,3.0,1.0,,2.0,,,,,,北理生活指南.,3.0,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,BIT-Auto-Login-System,https://github.com/majingbit/BIT-Auto-Login-System,majingbit/BIT-Auto-Login-System,srun,,https://github.com/majingbit/BIT-Auto-Login-System,MIT,2017-09-24 02:02:26.000,2017-09-22 06:28:17,2017-09-22 06:28:06,6.0,,,1.0,,,,,,,,,,北理工（北京理工大学）校园网自动登录系统（ for Alfred with Mac），Alfred 工作流，Alfred workflow.,,4,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,优化北理工成绩列表显示,https://greasyfork.org/scripts/456009-%E4%BC%98%E5%8C%96%E5%8C%97%E7%90%86%E5%B7%A5%E6%88%90%E7%BB%A9%E5%88%97%E8%A1%A8%E6%98%BE%E7%A4%BA,,academic,['web'],,MIT License,2022-12-04 17:43:09.000,2025-07-11 12:34:08,,,,,,,,,,,,,,,脚本适用于北京理工大学教务系统成绩查询界面（支持校内访问、webvpn访问），调整成绩查询后表格的显示，并且能自动计算平均学分绩。.,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,456009.0,https://greasyfork.org/scripts/456009,https://update.greasyfork.org/scripts/456009/%E4%BC%98%E5%8C%96%E5%8C%97%E7%90%86%E5%B7%A5%E6%88%90%E7%BB%A9%E5%88%97%E8%A1%A8%E6%98%BE%E7%A4%BA.user.js,20.0,5.0,
104,北京理工大学评教脚本,https://greasyfork.org/scripts/446772-%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6%E8%AF%84%E6%95%99%E8%84%9A%E6%9C%AC,,academic,['web'],,MIT License,2022-06-20 11:58:49.000,2022-06-20 12:24:39,,,,,,,,,,,,,,,北理工一键评教.,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,446772.0,https://greasyfork.org/scripts/446772,https://update.greasyfork.org/scripts/446772/%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6%E8%AF%84%E6%95%99%E8%84%9A%E6%9C%AC.user.js,51.0,5.0,
105,Signs,https://github.com/YDX-2147483647/signs,YDX-2147483647/signs,office,,https://github.com/YDX-2147483647/signs,MIT,2023-08-04 12:18:15.000,2024-04-03 16:22:47,2024-04-03 16:22:44,26.0,,,1.0,5.0,,,,,,,,,整理腾讯在线收集表的签名。（适用于班级远程签字）.,2.0,4,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,培养方案显示已获得学分,https://greasyfork.org/scripts/472940-%E5%8C%97%E7%90%86%E5%B7%A5%E5%9F%B9%E5%85%BB%E6%96%B9%E6%A1%88%E6%98%BE%E7%A4%BA%E5%B7%B2%E8%8E%B7%E5%BE%97%E5%AD%A6%E5%88%86,,academic,,,MIT License,2023-08-12 09:30:39.000,2023-08-12 16:09:58,,,,,,,,,,,,,,,用户在北理工本硕博一体化系统—我的培养方案中可以查看到系统内的已获得学分，查询结果仅供参考。.,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,472940.0,https://greasyfork.org/scripts/472940,https://update.greasyfork.org/scripts/472940/%E5%8C%97%E7%90%86%E5%B7%A5%E5%9F%B9%E5%85%BB%E6%96%B9%E6%A1%88%E6%98%BE%E7%A4%BA%E5%B7%B2%E8%8E%B7%E5%BE%97%E5%AD%A6%E5%88%86.user.js,6.0,5.0,
107,网瑞达科技的资源访问控制系统（WebVPN） 助手,https://greasyfork.org/scripts/496336-bit-%E7%BD%91%E7%91%9E%E8%BE%BE%E7%A7%91%E6%8A%80%E7%9A%84%E8%B5%84%E6%BA%90%E8%AE%BF%E9%97%AE%E6%8E%A7%E5%88%B6%E7%B3%BB%E7%BB%9F-webvpn-%E5%8A%A9%E6%89%8B,,edu-cn,,,MIT License,2024-05-28 12:39:23.000,2024-06-21 12:46:52,,,,,,,,,,,,,,,更方便地使用北理的WebVPN服务，允许访问其他校内地址.,,4,False,3.0,,,,,,,,,,,,,,,,,,,,,,496336.0,https://greasyfork.org/scripts/496336,https://update.greasyfork.org/scripts/496336/BIT-%E7%BD%91%E7%91%9E%E8%BE%BE%E7%A7%91%E6%8A%80%E7%9A%84%E8%B5%84%E6%BA%90%E8%AE%BF%E9%97%AE%E6%8E%A7%E5%88%B6%E7%B3%BB%E7%BB%9F%EF%BC%88WebVPN%EF%BC%89%20%E5%8A%A9%E6%89%8B.user.js,3.0,5.0,
108,BITCS19,https://github.com/Worter623/BITCS19,Worter623/BITCS19,learning,,https://github.com/Worter623/BITCS19,,2023-02-28 05:37:44.000,2023-02-28 13:51:11,2023-02-28 13:51:08,3.0,,2.0,1.0,,,,107.0,,,,,,北京理工大学（特立）计算机课程资料：19级or往年考题/项目代码/知识点总结.,1.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,北京理工大学-计算机科学与技术-计科课程资料-持续更新,https://github.com/liujiaqun/BIT-CS,liujiaqun/BIT-CS,learning,,https://github.com/liujiaqun/BIT-CS,,2024-05-11 14:10:49.000,2024-05-11 14:49:52,2024-05-11 14:44:12,3.0,,2.0,1.0,,1.0,,47.0,,,,,,北京理工大学-计算机科学与技术-计科课程资料-持续更新.,1.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
