,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,npm_id,dependent_project_count,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,new_addition,updated_github_id
114,一点儿北理地图,https://map.bitnp.net/,,cal,['web'],,,2021-07-24 19:38:18,2023-07-10 22:19:18,,,,0.0,7.0,,1.0,,4.0,,,,,,一个校园地图。 校内：https://map.bitnp.net/ 。 旧版：https://capchdo.com/xyc/map 。.,,2,True,3.0,,,,,,YDX-2147483647/map,https://gitee.com/YDX-2147483647/map,,,,,,,,,,,,,,,,,,,,
115,北理FTP联盟定时自动刷贴,https://github.com/Freeza91/bit-ftp,Freeza91/bit-ftp,org,,https://github.com/Freeza91/bit-ftp,,2014-10-12 14:39:52,2014-10-27 03:59:47,2014-10-27 03:59:40,17.0,,,3.0,,,,3.0,,,,,,"北理FTP联盟自动刷贴,定时分析帖子.",2.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,LenovoPlayPause,https://github.com/FrzMtrsprt/LenovoPlayPause,FrzMtrsprt/LenovoPlayPause,apollo,,https://github.com/FrzMtrsprt/LenovoPlayPause,,2022-08-12 03:08:29,2022-09-25 16:42:44,2022-09-25 16:42:44,8.0,,1.0,2.0,,,,3.0,2022-08-12 03:22:10.000,1.0.0,52.0,2.0,1.0,Map the user-defined key to Play / Pause key on Lenovo laptops.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Patch of BITJWC,https://github.com/fenprace/Patch-of-BITJWC,fenprace/Patch-of-BITJWC,academic,['web'],https://github.com/fenprace/Patch-of-BITJWC,GPL-3.0,2016-09-21 01:56:30,2017-01-11 12:46:31,2017-01-11 12:46:20,11.0,,,2.0,,,,2.0,,,,,,A script fixing bugs on the pages of jwc.bit.edu.cn.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,BITLogin-Node,https://github.com/BIT-BOBH/BITLogin-Node,BIT-BOBH/BITLogin-Node,srun,['web'],https://github.com/BIT-BOBH/BITLogin-Node,,2022-08-18 16:30:25,2022-08-18 16:31:04,2022-08-18 16:29:37,8.0,,,,,,,2.0,,,,,,北理工统一身份验证第三方接入的NodeJS实现.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Python语言程序设计 学习笔记,https://github.com/crazykuma/LearnPythonBIT,crazykuma/LearnPythonBIT,learning,,https://github.com/crazykuma/LearnPythonBIT,,2019-07-22 11:01:48,2019-08-03 06:41:08,2019-08-03 06:40:24,18.0,,1.0,,,,,2.0,,,,,,Python语言程序设计_北京理工大学.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,嵌入式系统原理与应用/v853-bare,https://gitee.com/bitpmcrg/v853-bare,,learning,"['asm', 'cpp']",,MIT,2022-11-21 11:15:20,2023-05-07 14:02:29,,,,1.0,1.0,,,,1.0,,,,,,全志v853芯片裸机开发示例程序。.,,2,True,3.0,,,,,,bitpmcrg/v853-bare,https://gitee.com/bitpmcrg/v853-bare,,,,,,,,,,,,,,,,,,,,
121,延河课堂播放功能增强,https://greasyfork.org/scripts/434987-%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E6%92%AD%E6%94%BE%E5%A2%9E%E5%BC%BA,OrdosX/yanhekt-tool,academic,['web'],https://github.com/OrdosX/yanhekt-tool,,2021-11-04 11:36:38,2021-11-14 14:15:13,2021-11-14 14:15:07,3.0,,,1.0,,,,1.0,,,,,,视频列表内一大节只显示一个链接，点击视频空白处切换播放暂停，左右方括号切换2倍速和原速，数字键1和2切换单双屏.,,2,False,3.0,,,,,,,,,,,,,434987.0,https://greasyfork.org/scripts/434987,https://update.greasyfork.org/scripts/434987/%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E6%92%AD%E6%94%BE%E5%A2%9E%E5%BC%BA.user.js,50.0,20.7,,,,,,,,,,
122,BIT-Online-Judge,https://github.com/Lylist/BIT-Online-Judge,Lylist/BIT-Online-Judge,misc,,https://github.com/Lylist/BIT-Online-Judge,,2017-07-01 13:31:31,2017-06-17 13:57:43,2017-06-17 05:33:55,14.0,,4.0,1.0,,,,1.0,,,,,,北京理工大学在线评测系统.,3.0,2,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,zaiBIT,https://zaibit.com,phy25/zaiBITstatic,agg,,https://github.com/phy25/zaiBITstatic,,2016-08-03 07:02:13,2017-08-05 11:00:07,2017-08-05 11:00:05,23.0,,,1.0,,,,1.0,,,,,,zaibit.com static site.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
