,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,trending,npm_id,npm_url,npm_monthly_downloads
93,Starry-BITPT,https://github.com/frantic1048/Starry-BITPT,frantic1048/Starry-BITPT,org,['web'],https://github.com/frantic1048/Starry-BITPT,MIT,2014-12-02 11:01:56,2014-12-03 07:34:03,2014-12-03 07:33:37,7.0,,,2.0,,,,1.0,,,,,,极速之星全站夜空风格的混乱邪恶的 Stylish 样式.,2.0,2,False,3.0,,,,,,,,,,,,,,,,,
94,zaiBIT,https://zaibit.com,phy25/zaiBITstatic,agg,,https://github.com/phy25/zaiBITstatic,,2016-08-03 07:02:13,2017-08-05 11:00:07,2017-08-05 11:00:05,23.0,,,1.0,,,,1.0,,,,,,zaibit.com static site.,,2,False,3.0,,,,,,,,,,,,,,,,,
95,WebvpnExploit,https://webvpn.bit.edu.cn/https/77726476706e69737468656265737421e7f2438a373e2652771cc7b69d5b2730bb0f351d/,BIT-BOBH/WebvpnExploit,edu-cn,['web'],https://github.com/BIT-BOBH/WebvpnExploit,,2022-10-09 12:22:25,2022-10-13 15:44:58,2022-10-13 15:44:52,13.0,,,,,,,1.0,,,,,,Exploit of cross domain vulnerabilities of webvpn.,,2,True,3.0,,,,,,,,,,,,,,,,,
96,BIT WebVPN URL 双向转换器（浏览器扩展）,https://addons.mozilla.org/zh-CN/firefox/addon/bit-webvpn-converter/,YDX-2147483647/bit-webvpn-converter-web-extension,edu-cn,['Web'],https://github.com/YDX-2147483647/bit-webvpn-converter-web-extension,,2022-11-12 13:43:24,2023-07-10 14:25:23,2023-07-10 14:25:22,18.0,1.0,,1.0,,1.0,,,,,,,,BIT WebVPN URL 双向转换器。 （浏览器扩展）.,,2,True,3.0,,,,,,,,,,,,,,,,,
97,BIT CAS login,https://gitee.com/felinae98/BIT-CAS-login,,misc,['python'],,GPL-3.0,2018-01-10 14:41:27,2020-12-19 13:26:52,,,,0.0,1.0,,,,,,,,,,login to login.bit.edu.cn.,,2,False,3.0,,,,,,felinae98/BIT-CAS-login,https://gitee.com/felinae98/BIT-CAS-login,,,,,,,,,,
98,bit_jwc,https://github.com/haohaolalahao/bit_jwc,haohaolalahao/bit_jwc,academic,['python'],https://github.com/haohaolalahao/bit_jwc,,2017-12-21 09:13:18,2018-01-02 00:45:08,2018-01-02 00:45:07,9.0,,1.0,1.0,,,,,,,,,,成绩查询、考试信息查询、一键评教。.,,2,False,3.0,,,,,,,,,,,,,,,,,
99,学生事务中心办事指南,https://howto.info.bit.edu.cn/,,agg,,,CC BY 4.0,,2021-11-26,,,,,,,,,,,,,,,“办事指南” DokuWiki 站点，由北京理工大学学生事务中心建立，目前处于试运行阶段。.,,2,False,3.0,,,,,,,,,,,,,,,,,
100,helping-check-answer,https://greasyfork.org/scripts/367662-helping-check-answer,,misc,['web'],,,2018-05-07 16:05:09,2018-05-07 16:07:38,,,,,,,,,,,,,,,形势政策答题查询.,,2,False,3.0,,,,,,,,,367662.0,https://greasyfork.org/scripts/367662,https://greasyfork.org/scripts/367662-helping-check-answer/code/helping-check-answer.user.js,882.0,5.0,,,,
101,BIT-Moodle-Video-Speed-Up,https://greasyfork.org/scripts/396818-bit-moodle-video-speed-up,,academic,['web'],,,2020-02-24 07:32:06,2020-02-24 07:32:06,,,,,,,,,,,,,,,北理乐学视频倍率播放.,,2,False,3.0,,,,,,,,,396818.0,https://greasyfork.org/scripts/396818,https://greasyfork.org/scripts/396818-bit-moodle-video-speed-up/code/BIT-Moodle-Video-Speed-Up.user.js,129.0,5.0,,,,
102,北理乐学视频下载助手,https://greasyfork.org/scripts/422933-%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD%E5%8A%A9%E6%89%8B,,academic,['web'],,,2021-03-09 09:02:21,2021-03-09 09:02:21,,,,,,,,,,,,,,,将课程列表的播放页面链接替换成视频文件下载链接！.,,2,False,3.0,,,,,,,,,422933.0,https://greasyfork.org/scripts/422933,https://greasyfork.org/scripts/422933-%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD%E5%8A%A9%E6%89%8B/code/%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD%E5%8A%A9%E6%89%8B.user.js,15.0,5.0,,,,
